path,kind,title,status,last_modified,content_state,evidence,notes,new_path
/,home,"Home: intro, upcoming shows, latest posts",200,,current,crawl;search-index,"Show list and intro are hardcoded in the KU theme template, not WordPress content; the latest post renders in full (542-song list)",
/?page_id=6,page,About,200,2021-11-13,current,rest-api;wayback;search-index,Hosts and history; last edited 2021,
/?p=6,page-alias,About (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=6,
/?page_id=8,page,Calendar,200,2026-08-01,stale,rest-api;wayback;search-index,"Lists shows through 10/3 only, including past dates; disagrees with the homepage list",
/?p=8,page-alias,Calendar (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=8,
/?page_id=10,page,Contact,200,2014-11-20,current,rest-api;wayback,Contact Form 7 form; copy unchanged since 2014; promises an email list that has no signup,
/?p=10,page-alias,Contact (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=10,
/?page_id=12,page,Media,200,2021-11-13,stale,rest-api;wayback;search-index,15 press entries 2010-2016: 3 links dead, 3 land on a section front page, 1 has no link; 4 YouTube embeds,
/?p=12,page-alias,Media (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=12,
/?page_id=14,page,Photos,200,2018-01-29,broken,rest-api;wayback,Instagram Feed has no connected account; visitors see an empty page,
/?p=14,page-alias,Photos (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=14,
/?page_id=16,page,Songlist,200,2026-09-05,current,rest-api;wayback,"Master songlist, 1,853 songs in one 1,854-row table (448 KB); updated about monthly",
/?p=16,page-alias,Songlist (by post ID),301,,n/a,wayback,WordPress resolves ?p= for page IDs too; redirects to /?page_id=16,
/?p=1,post,New Site,200,2013-09-15,archival,rest-api;wayback,Dated news or event post,
/?p=47,post,Fun Fun Fun Fest 2013,200,2013-10-29,archival,rest-api;wayback,Dated news or event post,
/?p=70,post,Mr Your On Fire Mr,200,2014-02-12,archival,rest-api;wayback,Dated news or event post,
/?p=73,post,Miles Away,200,2014-02-13,archival,rest-api;wayback,Dated news or event post,
/?p=78,post,Want,200,2014-02-24,archival,rest-api;wayback,Dated news or event post,
/?p=81,post,Deanna,200,2014-02-28,archival,rest-api;wayback,Dated news or event post,
/?p=84,post,True Love,200,2014-03-01,archival,rest-api;wayback,Dated news or event post,
/?p=86,post,Photos from March 1st at Nomad,200,2014-03-03,archival,rest-api;wayback,Dated news or event post,
/?p=91,post,SXKU X this Saturday,200,2014-03-11,archival,rest-api;wayback,Dated news or event post,
/?p=98,post,10th Anniversary show at Red 7,200,2014-04-26,archival,rest-api;wayback,Dated news or event post,
/?p=108,post,10 years of fun in one night,200,2014-04-29,archival,rest-api;wayback,Dated news or event post,
/?p=123,post,"PRF BBQ West – Oakland, CA – May 2-4",200,2014-04-30,archival,rest-api;wayback,Dated news or event post,
/?p=132,post,DOUBLE DARE YA: Benefit for Lilith Fund for Reproductive Equity,200,2014-06-22,archival,rest-api;wayback,Dated news or event post,
/?p=146,post,KU in August: On the road and a Riot Grrrl benefit in Austin,200,2014-07-24,archival,rest-api;wayback,Dated news or event post,
/?p=154,post,KU in October: FUN FUN FUN + a new regular night in Austin,200,2014-10-02,archival,rest-api;wayback,Dated news or event post,
/?p=163,post,SING YOUR MIND: Fun Fun Fun Fest Karaoke + Trivia on Oct. 15,200,2014-10-13,archival,rest-api;wayback,Dated news or event post,
/?p=172,post,"KU in November: Day Of The Dead at Nomad plus Sweetwater, Scoot Inn and The Highball",200,2014-10-29,archival,rest-api;wayback,Dated news or event post,
/?p=192,post,KU in December + Vice and Consequence Of Sound,200,2014-11-28,archival,rest-api;wayback,Dated news or event post,
/?p=207,post,"Hello, 2015",200,2015-01-01,archival,rest-api;wayback,Dated news or event post,
